node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
4547,39.4731943,-0.3779664,,,,,,,,,,,,
4548,39.4745312,-0.3777118,,,,,,,,,,,,
4549,39.4744619,-0.377595,,,,,,,,,,,,
4550,39.4746088,-0.3778636,,,,,,,,,,,,
4551,39.4750712,-0.3783178,,,,,,,,,,,,
4552,39.4749592,-0.3779731,,,,,,,,,,,,
4553,39.4748395,-0.3775211,,,,,,,,,,,,
4554,39.4750413,-0.377571,,,,,,,,,,,,
4555,39.475454,-0.3779438,,,,,,,,,,,,
4556,39.4753407,-0.3784289,,,,,,,,,,,,
4557,39.4754995,-0.3789299,,,,,,,,,,,,
4558,39.475742,-0.3779045,,,,,,,,,,,,
4559,39.4758009,-0.3781931,,,,,,,,,,,,
4560,39.4758187,-0.3783304,,,,,,,,,,,,
4561,39.4758151,-0.3784707,,,,,,,,,,,,
4562,39.4758038,-0.378762,,,,public,4,,,,,,,
4563,39.4758177,-0.3790499,,,,,,,,,,,,
4564,39.4763363,-0.379888,,,,,,,,,,,,
4565,39.4766782,-0.3809763,,,,,,,,,,,,
4566,39.4768609,-0.3800632,,,,,,,,,,,,
4567,39.4762308,-0.3822881,,,,,,,,,,,,
4568,39.4766642,-0.3828527,,,,,,,,,,,,
4569,39.47616,-0.3827113,,,,,,,,,,,,
4570,39.4760865,-0.38307,,,,,,,,,,,,
4571,39.4763499,-0.3830244,,,,,,,,,,,,
4572,39.4764681,-0.3827038,,,,,,,,,,,,
4573,39.4771693,-0.3818951,,,,,,,,,,,,
4574,39.4770556,-0.3810999,,,,church,,roman_catholic,,,,,,
4575,39.4777606,-0.3796789,,,,,,,,,,,,
4576,39.4778096,-0.3793226,,,,,,,,,,,,
4577,39.4779408,-0.3790353,,,,,,,,,,,,
4578,39.4716259,-0.3715712,,,,,,,,,,,,
4579,39.4748859,-0.381415,,,,,,,,,,,,
4580,39.4748175,-0.3813465,,,,,,,,,,,,
4581,39.4748434,-0.381218,,,,,,,,,,,,
4582,39.4748005,-0.3813925,,,,,,,,,,,,
4583,39.4748163,-0.3815591,,,,,,,,,,,,
4584,39.475142,-0.3819752,,,,,,,,,,,,
4585,39.4750995,-0.3819381,,,,,,,,,,,,
4586,39.4750907,-0.3818742,,,,,,,,,,,,
4587,39.4750786,-0.3818229,,,,,,,,,,,,
4588,39.4750886,-0.3814102,,,,,,,,,,,,
4589,39.4750612,-0.381163,,,,,,,,,,,,
4590,39.4749637,-0.3811538,,,,,,,,,,,,
4591,39.4749837,-0.3812674,,,,,,,,,,,,
4592,39.475004,-0.3814848,,,,,,,,,,,,
4593,39.4753479,-0.3819866,,,,,,,,,,,,
4594,39.4753123,-0.3817883,,,,,,,,,,,,
4595,39.4753101,-0.3816137,,,,,,,,,,,,
4596,39.475281,-0.3814899,,,,,,,,,,,,
4597,39.4752379,-0.3813692,,,,,,,,,,,,
4598,39.4768342,-0.3783468,,,,,,,,,,,,
4599,39.4774243,-0.3783297,,,,,,,,,,,,
4600,39.4774132,-0.3761745,,,,,,,,,,,,
4601,39.477147,-0.3759083,3,,Calle del Conde de Almod?var,,,,,,,,,
4602,39.4770199,-0.3756618,1,,Calle del Conde de Almod?var,,,,,,,,,
4603,39.477431,-0.3758118,,,,,,,,,,,,
4604,39.4774724,-0.37514,,,,,,,,,,,,
4605,39.4773078,-0.3771309,,,,,,,,,,,,
4606,39.4774225,-0.3771967,,,,,,,,,,,,
4607,39.4775761,-0.3772559,,,,,,,,,,,,
4608,39.4777578,-0.3772015,,,,,,,,,,,,
4609,39.4777874,-0.3771642,,,,,,,,,,,,
4610,39.477943,-0.3771834,,,,,,,,,,,,
4611,39.4783905,-0.3773909,,,,,,,,,,,,
4612,39.4782602,-0.3773709,,,,,,,,,,,,
4613,39.4781349,-0.3775103,,,,,,,,,,,,
4614,39.4780587,-0.3777524,,,,,,,,,,,,
4615,39.4778468,-0.3778324,,,,apartments,4,,,,,,,
4616,39.4775807,-0.377867,,,,,,,,,,,,
4617,39.4779054,-0.377668,,,,,,,,,,,,
4618,39.4780227,-0.377542,,,,,,,,,,,,
4619,39.4775261,-0.3776662,,,,,,,,,,,,
4620,39.4776624,-0.3776759,,,,,,,,,,,,
4621,39.4777677,-0.3776451,,,,,,,,,,,,
4622,39.477974,-0.3773868,,,,,,,,,,,,
4623,39.477887,-0.377577,,,,,,,,,,,,
4624,39.4778374,-0.3774458,,,,,,,,,,,,
4625,39.4774907,-0.3774865,,,,,,,,,,,,
4626,39.4775525,-0.3774662,,,,,,,,,,,,
4627,39.4776572,-0.3774481,,,,,,,,,,,,
4628,39.4778334,-0.3781549,,,,,,,,,,,,
4629,39.477944,-0.3779966,,,,,,,,,,,,
4630,39.4779737,-0.3784176,,,,,,,,,,,,
4631,39.478099,-0.3788898,,,,,,,,,,,,
4632,39.4783416,-0.3789412,,,,,,,,,,,,
4633,39.4782852,-0.3793279,,,,,,,,,,,,
4634,39.478188,-0.3796962,,,,,,,,,,,,
4635,39.4782056,-0.3795638,,,,,,,,,,,,
4636,39.4799652,-0.3794242,,,,,,,,,,,,
4637,39.4799711,-0.379715,,,,,,,,,,,,
4638,39.4801137,-0.379702,,,,,,,,,,,,
4639,39.4776301,-0.3791648,28,,Carrer de Baix,,,,,,,,,
4640,39.4773591,-0.379005,,,,,,,,,,,,
4641,39.4774197,-0.3793653,,,,,,,,,,,,
4642,39.4772423,-0.3794015,,,,,,,,,,,,
4643,39.4771814,-0.3791433,,,,,,,,,,,,
4644,39.477003,-0.3795801,,,,,,,,,,,,
4645,39.4769227,-0.3796696,,,,,,,,,,,,
4646,39.4768475,-0.3796011,,,,,,,,,,,,
4647,39.4766713,-0.3797311,,,,,,,,,,,,
4648,39.4765417,-0.3797919,,,,,,,,,,,,
4649,39.4766165,-0.3792789,,,,,,,,,,,,
4650,39.4768074,-0.3792457,,,,,,,,,,,,
4651,39.4765995,-0.3794625,,,,,,,,,,,,
4652,39.4766556,-0.3793854,,,,,,,,,,,,
4653,39.4769791,-0.3798107,3,,Carrer de Baix,,,,,,,,,
4654,39.4770431,-0.3797999,5,,Carrer de Baix,,,,,,,,,
4655,39.4770913,-0.3797935,7,,Carrer de Baix,,,,,,,,,
4656,39.4771709,-0.3798316,10,,Carrer de Dalt,,,,,,,,,
4657,39.477262,-0.3798319,12,,Carrer de Dalt,,,,,,,,,
4658,39.4772046,-0.3797076,9,,Carrer de Baix,,,,,,,,,
4659,39.4774782,-0.3798345,20,,Carrer de Dalt,,,,,,,,,
4660,39.4773285,-0.3796664,13,,Carrer de Baix,,,,,,,,,
4661,39.4774564,-0.3807247,,,,,,,,,,,,
4662,39.4776157,-0.3806793,,,,,,,,,,,,
