id,lon,lat
523,-84.3398898,33.7440877
524,-84.3398238,33.7440849
525,-84.3387121,33.7440443
526,-84.338269,33.744037
527,-84.3348068,33.7437374
528,-84.291292,33.7460015
529,-84.348348,33.843656
530,-84.3303458,33.7553015
531,-84.3393842,33.7380511
532,-84.339349,33.737385
533,-84.339065,33.737043
534,-84.338728,33.736342
535,-84.338691,33.735216
536,-84.3383105,33.7432692
537,-84.3422521,33.7485138
538,-84.3397681,33.7484895
539,-84.3459016,33.7534372
540,-84.3420867,33.7534224
541,-84.3407347,33.7534172
542,-84.3375701,33.753405
543,-84.3284454,33.7533699
544,-84.3251407,33.7528355
545,-84.3240102,33.7522967
546,-84.323663,33.7520514
547,-84.3228379,33.7514683
548,-84.3216583,33.7511481
549,-84.3202634,33.7511377
550,-84.3176705,33.7511183
551,-84.3142984,33.751093
552,-84.3130577,33.7510837
553,-84.311234,33.751074
554,-84.3039503,33.7510348
555,-84.3013849,33.7513091
556,-84.2938646,33.7515677
557,-84.335076,33.737038
558,-84.3259492,33.7564172
559,-84.325903,33.759708
560,-84.325679,33.756399
561,-84.328949,33.761876
562,-84.328028,33.761721
563,-84.318508,33.757264
564,-84.318758,33.758581
565,-84.319193,33.761633
566,-84.319597,33.76247
567,-84.3419291,33.7461201
568,-84.3409452,33.7461319
569,-84.3481669,33.7493561
570,-84.3474812,33.7493452
571,-84.3474801,33.7495849
572,-84.325105,33.7647756
573,-84.323704,33.766099
574,-84.323697,33.767197
575,-84.3435659,33.7340409
576,-84.332161,33.732727
577,-84.316674,33.744758
578,-84.315601,33.744333
579,-84.3143221,33.740635
580,-84.314584,33.740542
581,-84.344185,33.797563
582,-84.3449754,33.7995192
583,-84.3441332,33.7998936
584,-84.344792,33.802117
585,-84.3442979,33.801553
586,-84.3357481,33.7581764
587,-84.328691,33.762844
588,-84.328449,33.7636251
589,-84.328663,33.764858
590,-84.339932,33.736355
591,-84.3350036,33.7769337
592,-84.3335389,33.777875
593,-84.3334836,33.7783926
594,-84.332838,33.779595
595,-84.3328914,33.7796942
596,-84.3397877,33.7450061
597,-84.3399052,33.7433235
598,-84.339696,33.747539
599,-84.3397621,33.7458544
600,-84.3386633,33.7449734
601,-84.338579,33.747533
602,-84.338624,33.745841
603,-84.347029,33.764959
604,-84.3458388,33.7340667
605,-84.345858,33.73692
606,-84.34586,33.737968
607,-84.335833,33.763811
608,-84.335818,33.764857
609,-84.339966,33.735134
